problem_solution_key,id,title,solution_column,solution_index,source_broad_tag,source_broad_score,BACKTRACKING,BFS,BINARY_SEARCH,BITMASK,BRUTE_FORCE,COMBINATORICS,DFS,DIJKSTRA,DP,FENWICK_TREE,GCD_LCM,GEOMETRY,GRAPH,GREEDY,MATH,MODULAR_ARITHMETIC,PARAMETRIC_SEARCH,PREFIX_SUM,PRIORITY_QUEUE,SEGMENT_TREE,SIEVE,SIMULATION,SORTING,STACK,TOPO_SORT,TREE,TWO_POINTERS,UNION_FIND,recheck_best_candidate,recheck_best_score,recheck_decision,recheck_reason
1475_D_solution_4,1475_D,Cleaning the Phone,solution_4,4,GREEDY,95,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"전체적인 전략은 Greedy(가장 큰 메모리부터 선택)이지만, 실제 시간복잡도를 결정하고 구현의 핵심이 되는 부분은 Prefix Sum 배열에 대한 Binary Search이다."
1475_D_solution_2,1475_D,Cleaning the Phone,solution_2,2,GREEDY,90,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"GREEDY 전략을 기반으로 하지만, 실제 최적값을 찾는 핵심 메커니즘은 정렬된 누적합 배열 상의 BINARY_SEARCH임"
1475_D_solution_5,1475_D,Cleaning the Phone,solution_5,5,GREEDY,90,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,85,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"그리디한 선택(내림차순 정렬) 이후, 최적의 조합을 찾는 과정에서 BINARY_SEARCH가 시간복잡도와 코드 구조를 결정함"
1475_D_solution_3,1475_D,Cleaning the Phone,solution_3,3,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,85,0,SORTING,90,KEEP_ORIGINAL,"그리디 전략을 수행하기 위해 정렬과 투 포인터가 도구로서 사용되었으며, 문제의 핵심 논리는 가중치 대비 메모리 효율을 최대화하는 그리디 선택에 있음"
1475_D_solution_1,1475_D,Cleaning the Phone,solution_1,1,GREEDY,95,,,85,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,0,0,SORTING,90,REVIEW_NEEDED,"그리디 전략이 핵심이지만, 이를 효율적으로 구현하기 위해 이분 탐색(BINARY_SEARCH)과 정렬(SORTING)이 필수적으로 결합되어 있음."
1475_D_solution_9,1475_D,Cleaning the Phone,solution_9,9,GREEDY,90,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,95,0,TWO_POINTERS,95,LIKELY_SPECIFIC_ALGORITHM,단순 그리디 선택을 넘어 두 그룹 간의 최적 조합을 찾기 위해 투포인터를 사용한 구체적인 최적화 기법이 핵심임.
1475_D_solution_7,1475_D,Cleaning the Phone,solution_7,7,GREEDY,85,,,90,,,,,,0,0,,,0,,,,0,,0,0,,,95,0,,,0,0,SORTING,95,LIKELY_SPECIFIC_ALGORITHM,"전체적인 전략은 그리디(정렬 후 선택)이지만, 시간복잡도를 결정짓는 핵심 최적화 도구는 BINARY_SEARCH와 PREFIX_SUM임."
1475_D_solution_6,1475_D,Cleaning the Phone,solution_6,6,GREEDY,90,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"Greedy 전략이 기본이나, 실제 구현에서 최적의 분할 지점을 찾는 핵심 메커니즘이 Binary Search임"
1475_D_solution_8,1475_D,Cleaning the Phone,solution_8,8,GREEDY,95,,,40,,,,,,0,0,,,0,,,,0,,0,0,,,85,0,,,90,0,TWO_POINTERS,90,LIKELY_SPECIFIC_ALGORITHM,"그리디 전략이 기반이지만, 실제 최적해를 찾는 과정은 정렬된 두 배열의 누적합을 이용한 투포인터 탐색이 핵심임"
1475_D_solution_10,1475_D,Cleaning the Phone,solution_10,10,GREEDY,85,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,95,0,,,90,0,SORTING,95,LIKELY_SPECIFIC_ALGORITHM,"그리디한 전략을 사용하지만, 실제 구현의 핵심은 정렬된 두 배열에서의 투 포인터 이동을 통해 최적의 비용 지점을 찾는 것이므로 TWO_POINTERS와 SORTING이 더 구체적인 핵심 알고리즘임"
