problem_solution_key,id,title,solution_column,solution_index,source_broad_tag,source_broad_score,BACKTRACKING,BFS,BINARY_SEARCH,BITMASK,BRUTE_FORCE,COMBINATORICS,DFS,DIJKSTRA,DP,FENWICK_TREE,GCD_LCM,GEOMETRY,GRAPH,GREEDY,MATH,MODULAR_ARITHMETIC,PARAMETRIC_SEARCH,PREFIX_SUM,PRIORITY_QUEUE,SEGMENT_TREE,SIEVE,SIMULATION,SORTING,STACK,TOPO_SORT,TREE,TWO_POINTERS,UNION_FIND,recheck_best_candidate,recheck_best_score,recheck_decision,recheck_reason
1475_D_solution_2,1475_D,Cleaning the Phone,solution_2,2,GREEDY,95,,,85,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,0,0,SORTING,90,KEEP_ORIGINAL,"정렬과 이분 탐색이 사용되었으나, 전체적인 풀이의 핵심 논리는 비용별 최대 메모리 선택이라는 그리디 전략에 기반함"
1475_D_solution_4,1475_D,Cleaning the Phone,solution_4,4,GREEDY,90,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,85,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"전체적인 전략은 GREEDY하지만, 실제 구현에서 시간복잡도를 결정하고 최적의 k값을 찾는 핵심 기법은 누적합 상의 BINARY_SEARCH임"
1475_D_solution_5,1475_D,Cleaning the Phone,solution_5,5,GREEDY,85,,,95,,,,,,0,0,,,0,,,,0,,0,0,,,90,0,,,0,0,BINARY_SEARCH,95,LIKELY_SPECIFIC_ALGORITHM,"단순 그리디 선택을 넘어, 누적합 배열에 대한 이분 탐색이 시간복잡도를 결정하는 핵심 구조임."
1475_D_solution_8,1475_D,Cleaning the Phone,solution_8,8,GREEDY,95,,,40,,,,,,10,0,,,0,,,,0,,0,0,,,95,0,,,90,0,SORTING,95,KEEP_ORIGINAL,"내림차순 정렬 후 가장 큰 값부터 선택하는 그리디 전략이 핵심이며, 이를 효율적으로 구현하기 위해 투 포인터가 사용되었으므로 적절한 분류임."
1475_D_solution_6,1475_D,Cleaning the Phone,solution_6,6,GREEDY,90,,,85,,,,,,0,0,,,0,,,,0,,0,0,,,95,0,,,40,0,SORTING,95,LIKELY_SPECIFIC_ALGORITHM,"그리디 전략을 바탕으로 하지만, 실제 구현의 핵심 시간 복잡도와 탐색 구조는 정렬과 이분 탐색(BINARY_SEARCH)에 의해 결정됨."
1475_D_solution_1,1475_D,Cleaning the Phone,solution_1,1,GREEDY,95,,,90,,,,,,0,0,,,0,,,,0,,0,0,,,85,0,,,0,0,BINARY_SEARCH,90,KEEP_ORIGINAL,"그리디 전략(정렬 후 큰 값부터 선택)이 문제 해결의 근본적인 접근법이며, 이분 탐색은 이를 효율적으로 구현하기 위한 수단으로 사용됨."
1475_D_solution_7,1475_D,Cleaning the Phone,solution_7,7,GREEDY,95,,,90,,,,,,0,0,,,0,,,,0,,0,0,,,95,0,,,20,0,SORTING,95,KEEP_ORIGINAL,"정렬과 이분 탐색은 그리디 전략을 효율적으로 구현하기 위한 도구이며, 핵심 논리는 '메모리가 큰 것부터 선택'하는 그리디 접근법에 있다."
1475_D_solution_3,1475_D,Cleaning the Phone,solution_3,3,GREEDY,90,,,20,,,,,,10,0,,,0,,,,20,,0,0,,,95,0,,,85,0,SORTING,95,KEEP_ORIGINAL,"정렬된 상태에서 투포인터를 이용한 그리디 탐색이 가장 효율적인 최적해 도출 방법이며, 구현된 로직과 일치함."
1475_D_solution_9,1475_D,Cleaning the Phone,solution_9,9,GREEDY,90,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,95,0,,,90,0,SORTING,95,LIKELY_SPECIFIC_ALGORITHM,"그리디한 선택을 위해 정렬이 필수적이며, 두 그룹 간의 최적 조합을 찾기 위해 투 포인터(TWO_POINTERS) 구조가 핵심적으로 사용됨."
1475_D_solution_12,1475_D,Cleaning the Phone,solution_12,12,GREEDY,90,,,85,,,,,,0,0,,,0,,,,0,,0,0,,,95,0,,,0,0,SORTING,95,KEEP_ORIGINAL,"비용별 최대 용량 앱을 우선 선택하는 그리디 전략이 풀이의 핵심 논리이며, 정렬과 이분 탐색은 이를 구현하기 위한 도구임"
